Day,Time,Hours,Category,Project,Sub Project
4/27/2024,N/A,0.75,2nd Draft,Raven,
4/28/2024,N/A,1.5,2nd Draft,Raven,
4/29/2024,N/A,0.75,2nd Draft,Raven,
4/30/2024,N/A,0.25,2nd Draft,Raven,
5/1/2024,N/A,1.25,2nd Draft,Raven,
5/2/2024,N/A,0.5,2nd Draft,Raven,
5/3/2024,N/A,0.25,2nd Draft,Raven,
5/4/2024,N/A,0.75,2nd Draft,Raven,
5/5/2024,N/A,0.5,2nd Draft,Raven,
5/6/2024,N/A,0.5,2nd Draft,Raven,
5/7/2024,N/A,0.25,2nd Draft,Raven,
5/8/2024,N/A,1.25,2nd Draft,Raven,
5/9/2024,N/A,0.25,2nd Draft,Raven,
5/10/2024,N/A,0.25,2nd Draft,Raven,
5/11/2024,N/A,0.25,2nd Draft,Raven,
5/12/2024,N/A,1,2nd Draft,Raven,
5/13/2024,N/A,0.75,2nd Draft,Raven,
5/14/2024,N/A,1.5,2nd Draft,Raven,
5/15/2024,N/A,2.25,2nd Draft,Raven,
5/16/2024,N/A,0.75,2nd Draft,Raven,
5/17/2024,N/A,0.75,2nd Draft,Raven,
5/18/2024,N/A,0.5,2nd Draft,Raven,
5/19/2024,N/A,3.25,2nd Draft,Raven,
5/20/2024,N/A,5.5,2nd Draft,Raven,
5/20/2024,N/A,0.25,Free Write,Misc,
5/21/2024,N/A,3.75,2nd Draft,Raven,
5/22/2024,N/A,8,2nd Draft,Raven,
5/23/2024,N/A,2.75,2nd Draft,Raven,
5/24/2024,N/A,2.75,2nd Draft,Raven,
5/24/2024,N/A,0.5,Free Write,Rachel,
5/25/2024,N/A,1,2nd Draft,Raven,
5/26/2024,N/A,0.75,2nd Draft,Raven,
5/27/2024,N/A,0.5,2nd Draft,Raven,
5/28/2024,N/A,0.75,2nd Draft,Raven,
5/29/2024,N/A,1.5,2nd Draft,Raven,
5/30/2024,N/A,0.25,2nd Draft,Raven,
5/31/2024,N/A,0.25,2nd Draft,Raven,
6/1/2024,N/A,0.75,2nd Draft,Raven,
6/2/2024,N/A,0.5,2nd Draft,Raven,
6/3/2024,N/A,1,2nd Draft,Raven,
6/4/2024,N/A,0.75,2nd Draft,Raven,
6/5/2024,N/A,1.25,2nd Draft,Raven,
6/6/2024,N/A,0.25,2nd Draft,Raven,
6/7/2024,N/A,0.75,2nd Draft,Raven,
6/8/2024,N/A,1,2nd Draft,Raven,
6/9/2024,N/A,1,2nd Draft,Raven,
6/10/2024,N/A,0.75,2nd Draft,Raven,
6/11/2024,N/A,0.75,2nd Draft,Raven,
6/12/2024,N/A,1.75,2nd Draft,Raven,
6/13/2024,N/A,0.25,2nd Draft,Raven,Planning
6/14/2024,N/A,2,2nd Draft,Raven,Planning
6/15/2024,N/A,1.75,2nd Draft,Raven,Planning
6/16/2024,N/A,0.25,2nd Draft,Raven,
6/16/2024,N/A,1.25,2nd Draft,Raven,Planning
6/16/2024,N/A,1,Free Write,Rachel,
6/17/2024,N/A,1.5,Free Write,Rachel,
6/18/2024,N/A,0.75,Free Write,Rachel,
6/19/2024,N/A,2.25,2nd Draft,Raven,
6/20/2024,N/A,1,2nd Draft,Raven,
6/21/2024,N/A,2.5,2nd Draft,Raven,
6/22/2024,N/A,1,2nd Draft,Raven,
6/23/2024,N/A,0.75,2nd Draft,Raven,
6/24/2024,N/A,0.75,2nd Draft,Raven,
6/25/2024,N/A,1,2nd Draft,Raven,
6/26/2024,N/A,2,2nd Draft,Raven,
6/27/2024,N/A,1,2nd Draft,Raven,
6/28/2024,N/A,0.5,2nd Draft,Raven,
6/29/2024,N/A,1.25,2nd Draft,Raven,
6/30/2024,N/A,2,2nd Draft,Raven,
7/1/2024,N/A,0.25,2nd Draft,Raven,
7/2/2024,N/A,0.75,2nd Draft,Raven,
7/3/2024,N/A,2.5,2nd Draft,Raven,
7/4/2024,N/A,1.75,2nd Draft,Raven,
7/5/2024,N/A,1.25,2nd Draft,Raven,
7/6/2024,N/A,2.5,2nd Draft,Raven,
7/6/2024,N/A,0.5,Querying,Sorceress,
7/7/2024,N/A,2,2nd Draft,Raven,
7/7/2024,N/A,3,Querying,Sorceress,
7/8/2024,N/A,2,2nd Draft,Raven,
7/9/2024,N/A,1,2nd Draft,Raven,
7/10/2024,N/A,0.25,Free Write,Rachel,
7/11/2024,N/A,0.5,2nd Draft,Raven,
7/12/2024,N/A,0.75,2nd Draft,Raven,
7/13/2024,N/A,1.5,2nd Draft,Raven,
7/13/2024,N/A,0.5,Querying,Sorceress,
7/14/2024,N/A,1,2nd Draft,Raven,
7/14/2024,N/A,2,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/15/2024,N/A,1,2nd Draft,Raven,
7/15/2024,N/A,0.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/16/2024,N/A,0.25,2nd Draft,Raven,
7/16/2024,N/A,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/17/2024,N/A,2,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/18/2024,N/A,1.5,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/19/2024,N/A,6,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/20/2024,N/A,7,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/21/2024,N/A,4.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/22/2024,N/A,2,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/23/2024,N/A,0.5,3rd+ Draft,Sorceress,5th Draft - WC reduction
7/24/2024,N/A,2.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
